accno,pval,lfc,condition,GOID,TERM,description
AAG59170.1,1e-4,0.93,vivo,GO:0004872,NA,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG59170.1,1e-4,0.93,vivo,GO:0006810,transport,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG59170.1,1e-4,0.93,vivo,GO:0016020,membrane,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG59170.1,1e-4,0.93,vivo,GO:0015235,NA,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG59170.1,1e-4,0.93,vivo,GO:0015889,cobalamin transport,"outer membrane receptor for transport of vitamin B12, E colicins, and bacteriophage BF23 [Escherichia coli O157:H7 str. EDL933]"
AAG58174.1,1e-4,0.98,vivo,GO:0005215,transporter activity,outer membrane channel; specific tolerance to colicin E1; segregation of daughter chromosomes [Escherichia coli O157:H7 str. EDL933]
AAG58174.1,1e-4,0.98,vivo,GO:0006810,transport,outer membrane channel; specific tolerance to colicin E1; segregation of daughter chromosomes [Escherichia coli O157:H7 str. EDL933]
AAG58174.1,1e-4,0.98,vivo,GO:0019867,outer membrane,outer membrane channel; specific tolerance to colicin E1; segregation of daughter chromosomes [Escherichia coli O157:H7 str. EDL933]
AAG59424.1,0.0027,0.58,vivo,GO:0000287,magnesium ion binding,inorganic pyrophosphatase [Escherichia coli O157:H7 str. EDL933]
AAG59424.1,0.0027,0.58,vivo,GO:0004427,inorganic diphosphatase activity,inorganic pyrophosphatase [Escherichia coli O157:H7 str. EDL933]
AAG59424.1,0.0027,0.58,vivo,GO:0005737,cytoplasm,inorganic pyrophosphatase [Escherichia coli O157:H7 str. EDL933]
AAG59424.1,0.0027,0.58,vivo,GO:0006796,phosphate-containing compound metabolic process,inorganic pyrophosphatase [Escherichia coli O157:H7 str. EDL933]
AAG55550.1,1e-4,0.84,vivo,GO:0003993,acid phosphatase activity,periplasmic glucose-1-phosphatase [Escherichia coli O157:H7 str. EDL933]
A0A377C3N1,0.05,1.2,vivo,GO:0019143,3-deoxy-manno-octulosonate-8-phosphatase activity,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase OS=Escherichia coli OX=562 GN=kdsC_2 PE=4 SV=1 UPId=UP000254255 PPId=UP000000625
A0A0K5Z365,0.05,-0.82,vitro,GO:0003735,structural constituent of ribosome,30S ribosomal protein S21 OS=Escherichia coli OX=562 GN=rpsU PE=3 SV=1 UPId=UP000044469 PPId=UP000000625
A0A0K5Z365,0.05,-0.82,vitro,GO:0005840,ribosome,30S ribosomal protein S21 OS=Escherichia coli OX=562 GN=rpsU PE=3 SV=1 UPId=UP000044469 PPId=UP000000625
A0A0K5Z365,0.05,-0.82,vitro,GO:0006412,translation,30S ribosomal protein S21 OS=Escherichia coli OX=562 GN=rpsU PE=3 SV=1 UPId=UP000044469 PPId=UP000000625
A0A0K5Z365,0.05,-0.82,vitro,GO:0005622,intracellular anatomical structure,30S ribosomal protein S21 OS=Escherichia coli OX=562 GN=rpsU PE=3 SV=1 UPId=UP000044469 PPId=UP000000625
AAG55384.1,4.9e-4,0.66,vivo,GO:0003824,catalytic activity,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG55384.1,4.9e-4,0.66,vivo,GO:0008152,metabolic process,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG57350.1,1e-4,2,vivo,GO:0006810,transport,outer membrane protein 1b (Ib;c) [Escherichia coli O157:H7 str. EDL933]
AAG57350.1,1e-4,2,vivo,GO:0015288,porin activity,outer membrane protein 1b (Ib;c) [Escherichia coli O157:H7 str. EDL933]
AAG57350.1,1e-4,2,vivo,GO:0016020,membrane,outer membrane protein 1b (Ib;c) [Escherichia coli O157:H7 str. EDL933]
EDU32563.1,1e-4,0.58,vivo,GO:0019867,outer membrane,outer membrane lipoprotein SlyB [Escherichia coli O157:H7 str. EC4196]
AAG54829.1,0.0039,0.67,vivo,GO:0009166,nucleotide catabolic process,UDP-sugar hydrolase (5'-nucleotidase) [Escherichia coli O157:H7 str. EDL933]
AAG54829.1,0.0039,0.67,vivo,GO:0016787,hydrolase activity,UDP-sugar hydrolase (5'-nucleotidase) [Escherichia coli O157:H7 str. EDL933]
AAG54829.1,0.0039,0.67,vivo,GO:0000166,nucleotide binding,UDP-sugar hydrolase (5'-nucleotidase) [Escherichia coli O157:H7 str. EDL933]
AAG54829.1,0.0039,0.67,vivo,GO:0016788,"hydrolase activity, acting on ester bonds",UDP-sugar hydrolase (5'-nucleotidase) [Escherichia coli O157:H7 str. EDL933]
AAG54829.1,0.0039,0.67,vivo,GO:0046872,metal ion binding,UDP-sugar hydrolase (5'-nucleotidase) [Escherichia coli O157:H7 str. EDL933]
A0A0H3JHQ2,1e-4,0.57,vivo,GO:0006950,response to stress,Tellurium resistance protein TerD OS=Escherichia coli O157:H7 OX=83334 GN=terD PE=4 SV=1 UPId=UP000000558 PPId=UP000000625
AAG56729.1,3.5e-4,0.59,vivo,GO:0042597,periplasmic space,periplasmic protein related to spheroblast formation [Escherichia coli O157:H7 str. EDL933]
AAG56938.1,1e-4,1.22,vivo,GO:0005198,structural molecule activity,"flagellar biosynthesis; flagellin, filament structural protein [Escherichia coli O157:H7 str. EDL933]"
AAG56938.1,1e-4,1.22,vivo,GO:0071973,bacterial-type flagellum-dependent cell motility,"flagellar biosynthesis; flagellin, filament structural protein [Escherichia coli O157:H7 str. EDL933]"
AAG56938.1,1e-4,1.22,vivo,GO:0009420,bacterial-type flagellum filament,"flagellar biosynthesis; flagellin, filament structural protein [Escherichia coli O157:H7 str. EDL933]"
AAG57695.1,2.1e-4,-0.62,vitro,GO:0003824,catalytic activity,putative formate acetyltransferase [Escherichia coli O157:H7 str. EDL933]
AAG57695.1,2.1e-4,-0.62,vitro,GO:0008152,metabolic process,putative formate acetyltransferase [Escherichia coli O157:H7 str. EDL933]
PXF68203.1,0.0039,1.11,vivo,GO:0006520,cellular amino acid metabolic process,ornithine carbamoyltransferase [Escherichia coli O157]
PXF68203.1,0.0039,1.11,vivo,GO:0016597,amino acid binding,ornithine carbamoyltransferase [Escherichia coli O157]
PXF68203.1,0.0039,1.11,vivo,GO:0016743,carboxyl- or carbamoyltransferase activity,ornithine carbamoyltransferase [Escherichia coli O157]
PXF68203.1,0.0039,1.11,vivo,GO:0004585,ornithine carbamoyltransferase activity,ornithine carbamoyltransferase [Escherichia coli O157]
PXF68203.1,0.0039,1.11,vivo,GO:0006591,ornithine metabolic process,ornithine carbamoyltransferase [Escherichia coli O157]
BAB33950.2,0.016,-0.78,vitro,GO:0005524,ATP binding,adenylate kinase [Escherichia coli O157:H7 str. Sakai]
BAB33950.2,0.016,-0.78,vitro,GO:0006139,nucleobase-containing compound metabolic process,adenylate kinase [Escherichia coli O157:H7 str. Sakai]
BAB33950.2,0.016,-0.78,vitro,GO:0019205,nucleobase-containing compound kinase activity,adenylate kinase [Escherichia coli O157:H7 str. Sakai]
BAB33950.2,0.016,-0.78,vitro,GO:0004017,adenylate kinase activity,adenylate kinase [Escherichia coli O157:H7 str. Sakai]
BAB33950.2,0.016,-0.78,vitro,GO:0016776,"phosphotransferase activity, phosphate group as acceptor",adenylate kinase [Escherichia coli O157:H7 str. Sakai]
AAG57264.1,6.7e-4,0.71,vivo,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds","beta-D-glucoside glucohydrolase, periplasmic [Escherichia coli O157:H7 str. EDL933]"
AAG57264.1,6.7e-4,0.71,vivo,GO:0005975,carbohydrate metabolic process,"beta-D-glucoside glucohydrolase, periplasmic [Escherichia coli O157:H7 str. EDL933]"
AAG59563.1,3.5e-4,-0.84,vitro,GO:0006213,pyrimidine nucleoside metabolic process,thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0009032,thymidine phosphorylase activity,thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0008152,metabolic process,thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0016757,"transferase activity, transferring glycosyl groups",thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0016763,"transferase activity, transferring pentosyl groups",thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0004645,"1,4-alpha-oligoglucan phosphorylase activity",thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0006206,pyrimidine nucleobase metabolic process,thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG59563.1,3.5e-4,-0.84,vitro,GO:0016154,pyrimidine-nucleoside phosphorylase activity,thymidine phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG57635.1,0.0039,0.78,vivo,GO:0004792,thiosulfate sulfurtransferase activity,putative thiosulfate sulfurtransferase [Escherichia coli O157:H7 str. EDL933]
A0A0H2VZE3,6.7e-4,1.04,vivo,GO:0019867,outer membrane,Outer membrane protein induced after carbon starvation OS=Shigella flexneri OX=623 GN=slp PE=4 SV=1 UPId=UP000001006 PPId=UP000000625
A0A2X1NP24,0.05,0.58,vivo,GO:0003677,DNA binding,RNA polymerase sigma factor OS=Escherichia coli OX=562 GN=rpoE PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1NP24,0.05,0.58,vivo,GO:0003700,DNA-binding transcription factor activity,RNA polymerase sigma factor OS=Escherichia coli OX=562 GN=rpoE PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1NP24,0.05,0.58,vivo,GO:0006352,"DNA-templated transcription, initiation",RNA polymerase sigma factor OS=Escherichia coli OX=562 GN=rpoE PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1NP24,0.05,0.58,vivo,GO:0006355,"regulation of transcription, DNA-templated",RNA polymerase sigma factor OS=Escherichia coli OX=562 GN=rpoE PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1NP24,0.05,0.58,vivo,GO:0016987,sigma factor activity,RNA polymerase sigma factor OS=Escherichia coli OX=562 GN=rpoE PE=3 SV=1 UPId=UP000250780 PPId=UP000000625
AAG54479.1,1e-4,0.57,vivo,GO:0071709,membrane assembly,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG54479.1,1e-4,0.57,vivo,GO:0019867,outer membrane,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG58764.1,0.037,0.54,vivo,GO:0008152,metabolic process,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0016740,transferase activity,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0003824,catalytic activity,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0006567,threonine catabolic process,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0008890,glycine C-acetyltransferase activity,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0009058,biosynthetic process,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
AAG58764.1,0.037,0.54,vivo,GO:0030170,pyridoxal phosphate binding,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase) [Escherichia coli O157:H7 str. EDL933]
P0A6F5,1e-4,0.65,vivo,GO:0005737,cytoplasm,60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A6F5,1e-4,0.65,vivo,GO:0042026,protein refolding,60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A6F5,1e-4,0.65,vivo,GO:0005524,ATP binding,60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A6F5,1e-4,0.65,vivo,GO:0006457,protein folding,60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
AAG55414.1,1e-4,1.09,vivo,GO:0006810,transport,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55414.1,1e-4,1.09,vivo,GO:0015288,porin activity,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG55414.1,1e-4,1.09,vivo,GO:0016020,membrane,outer membrane protein 1a (Ia;b;F) [Escherichia coli O157:H7 str. EDL933]
AAG58688.1,0.05,1.37,vivo,GO:0043190,ATP-binding cassette (ABC) transporter complex,dipeptide transport protein [Escherichia coli O157:H7 str. EDL933]
AAG58688.1,0.05,1.37,vivo,GO:0055085,transmembrane transport,dipeptide transport protein [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0003824,catalytic activity,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0008152,metabolic process,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0008973,phosphopentomutase activity,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0046872,metal ion binding,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0000287,magnesium ion binding,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0005737,cytoplasm,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0009117,nucleotide metabolic process,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG59564.1,0.015,-0.6,vitro,GO:0043094,cellular metabolic compound salvage,phosphopentomutase [Escherichia coli O157:H7 str. EDL933]
AAG58283.1,0.05,0.96,vivo,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",putative glycosylase [Escherichia coli O157:H7 str. EDL933]
AAG58283.1,0.05,0.96,vivo,GO:0042597,periplasmic space,putative glycosylase [Escherichia coli O157:H7 str. EDL933]
ENO10771.1,0.0065,0.73,vivo,GO:0004363,glutathione synthase activity,glutathione synthetase [Escherichia coli O157:H43 str. T22]
ENO10771.1,0.0065,0.73,vivo,GO:0006750,glutathione biosynthetic process,glutathione synthetase [Escherichia coli O157:H43 str. T22]
ENO10771.1,0.0065,0.73,vivo,GO:0005524,ATP binding,glutathione synthetase [Escherichia coli O157:H43 str. T22]
ENO10771.1,0.0065,0.73,vivo,GO:0005829,cytosol,glutathione synthetase [Escherichia coli O157:H43 str. T22]
ENO10771.1,0.0065,0.73,vivo,GO:0046872,metal ion binding,glutathione synthetase [Escherichia coli O157:H43 str. T22]
ENO10771.1,0.0065,0.73,vivo,GO:0003824,catalytic activity,glutathione synthetase [Escherichia coli O157:H43 str. T22]
EDU76780.1,1e-4,1.45,vivo,GO:0015159,polysaccharide transmembrane transporter activity,"outer membrane lipoprotein, group 4 capsule (G4C) polysaccharide [Escherichia coli O157:H7 str. EC4401]"
EDU76780.1,1e-4,1.45,vivo,GO:0015774,polysaccharide transport,"outer membrane lipoprotein, group 4 capsule (G4C) polysaccharide [Escherichia coli O157:H7 str. EC4401]"
EDU76780.1,1e-4,1.45,vivo,GO:0016020,membrane,"outer membrane lipoprotein, group 4 capsule (G4C) polysaccharide [Escherichia coli O157:H7 str. EC4401]"
AAG54975.1,0.05,0.9,vivo,GO:0019867,outer membrane,a minor lipoprotein [Escherichia coli O157:H7 str. EDL933]
AAG54975.1,0.05,0.9,vivo,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,a minor lipoprotein [Escherichia coli O157:H7 str. EDL933]
AAG54468.1,0.0024,0.61,vivo,GO:0016740,transferase activity,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [Escherichia coli O157:H7 str. EDL933]"
AAG54468.1,0.0024,0.61,vivo,GO:0008666,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [Escherichia coli O157:H7 str. EDL933]"
AAG54468.1,0.0024,0.61,vivo,GO:0009089,lysine biosynthetic process via diaminopimelate,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase [Escherichia coli O157:H7 str. EDL933]"
P0A991,0.0065,0.82,vivo,GO:0016829,lyase activity,Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) OX=83333 GN=fbaB PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A991,0.0065,0.82,vivo,GO:0003824,catalytic activity,Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) OX=83333 GN=fbaB PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
BAB35166.2,0.0039,1,vivo,GO:0043190,ATP-binding cassette (ABC) transporter complex,oligopeptide ABC transporter periplasmic binding protein [Escherichia coli O157:H7 str. Sakai]
BAB35166.2,0.0039,1,vivo,GO:0055085,transmembrane transport,oligopeptide ABC transporter periplasmic binding protein [Escherichia coli O157:H7 str. Sakai]
A0A377C769,0.05,0.93,vivo,GO:0005515,protein binding,"Conserved protein, UPF0070 family OS=Escherichia coli OX=562 GN=yfgM_2 PE=4 SV=1 UPId=UP000254088 PPId=UP000000625"
AAG58422.1,1e-4,-0.88,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG58422.1,1e-4,-0.88,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG58422.1,1e-4,-0.88,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG58422.1,1e-4,-0.88,vitro,GO:0006412,translation,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG58422.1,1e-4,-0.88,vitro,GO:0015934,large ribosomal subunit,50S ribosomal subunit protein L15 [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0008152,metabolic process,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0016491,oxidoreductase activity,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0055114,NA,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0004022,alcohol dehydrogenase (NAD+) activity,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0046872,metal ion binding,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0006066,alcohol metabolic process,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0008774,acetaldehyde dehydrogenase (acetylating) activity,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG56096.1,1e-4,-0.82,vitro,GO:0015976,carbon utilization,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase [Escherichia coli O157:H7 str. EDL933]
AAG58051.1,0.0017,-0.58,vitro,GO:0004332,fructose-bisphosphate aldolase activity,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58051.1,0.0017,-0.58,vitro,GO:0006096,glycolytic process,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58051.1,0.0017,-0.58,vitro,GO:0005975,carbohydrate metabolic process,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58051.1,0.0017,-0.58,vitro,GO:0008270,zinc ion binding,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58051.1,0.0017,-0.58,vitro,GO:0016832,aldehyde-lyase activity,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58051.1,0.0017,-0.58,vitro,GO:0003824,catalytic activity,"fructose-bisphosphate aldolase, class II [Escherichia coli O157:H7 str. EDL933]"
AAG58701.1,0.0023,0.62,vivo,GO:0009279,cell outer membrane,putative outer membrane protein [Escherichia coli O157:H7 str. EDL933]
AAG58701.1,0.0023,0.62,vivo,GO:0016021,integral component of membrane,putative outer membrane protein [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0005524,ATP binding,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0016887,ATPase activity,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0005215,transporter activity,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0006810,transport,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0016820,NA,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0043190,ATP-binding cassette (ABC) transporter complex,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0015423,ABC-type maltose transporter activity,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0015768,maltose transport,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG59234.1,0.05,0.6,vivo,GO:0016020,membrane,ATP-binding component of transport system for maltose [Escherichia coli O157:H7 str. EDL933]
AAG54487.1,0.0031,-0.65,vitro,GO:0003989,acetyl-CoA carboxylase activity,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,0.0031,-0.65,vitro,GO:0006633,fatty acid biosynthetic process,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,0.0031,-0.65,vitro,GO:0009317,acetyl-CoA carboxylase complex,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG54487.1,0.0031,-0.65,vitro,GO:0016874,ligase activity,"acetylCoA carboxylase, carboxytransferase component, alpha subunit [Escherichia coli O157:H7 str. EDL933]"
AAG59411.1,0.0039,0.66,vivo,GO:0009166,nucleotide catabolic process,2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0016787,hydrolase activity,2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0008663,"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity",2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0009117,nucleotide metabolic process,2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0000166,nucleotide binding,2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0016788,"hydrolase activity, acting on ester bonds",2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
AAG59411.1,0.0039,0.66,vivo,GO:0046872,metal ion binding,2':3'-cyclic-nucleotide 2'-phosphodiesterase [Escherichia coli O157:H7 str. EDL933]
A0A080JFS1,2.8e-4,0.51,vivo,GO:0005215,transporter activity,Acriflavine resistance protein A OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_0493 PE=3 SV=1 UPId=UP000027995 PPId=UP000000625
A0A080JFS1,2.8e-4,0.51,vivo,GO:0016020,membrane,Acriflavine resistance protein A OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_0493 PE=3 SV=1 UPId=UP000027995 PPId=UP000000625
A0A080JFS1,2.8e-4,0.51,vivo,GO:0055085,transmembrane transport,Acriflavine resistance protein A OS=Escherichia coli 1-250-04_S3_C2 OX=1444163 GN=AC28_0493 PE=3 SV=1 UPId=UP000027995 PPId=UP000000625
AAG57341.1,0.05,1.15,vivo,GO:0008940,nitrate reductase activity,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0030151,molybdenum ion binding,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0042128,nitrate assimilation,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0042597,periplasmic space,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0051539,"4 iron, 4 sulfur cluster binding",probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0055114,NA,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
AAG57341.1,0.05,1.15,vivo,GO:0016491,oxidoreductase activity,probable nitrate reductase 3 [Escherichia coli O157:H7 str. EDL933]
A0A2X1Q8E9,0.05,0.98,vivo,GO:0006801,superoxide metabolic process,Superoxide dismutase OS=Escherichia coli OX=562 GN=sodC PE=4 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1Q8E9,0.05,0.98,vivo,GO:0046872,metal ion binding,Superoxide dismutase OS=Escherichia coli OX=562 GN=sodC PE=4 SV=1 UPId=UP000250780 PPId=UP000000625
A0A2X1Q8E9,0.05,0.98,vivo,GO:0055114,NA,Superoxide dismutase OS=Escherichia coli OX=562 GN=sodC PE=4 SV=1 UPId=UP000250780 PPId=UP000000625
AAG56771.1,0.0039,1.28,vivo,GO:0016021,integral component of membrane,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG58417.1,1e-4,-0.93,vitro,GO:0005622,intracellular anatomical structure,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
